transaction_id,sale_date,store_location,channel,product_id,product_name,category,quantity,unit_price,total_amount,customer_id
1001,2024-01-05,Sydney,In-Store,P001,Floral Wrap Dress,Dresses,1,89.99,89.99,C001
1002,2024-01-06,Melbourne,In-Store,P002,White Linen Shirt,Tops,2,49.99,99.98,C002
1003,2024-01-07,Online,Online,P003,High-Waist Jeans,Bottoms,1,79.99,79.99,C003
1004,2024-01-08,Brisbane,In-Store,P004,Leather Tote Bag,Accessories,1,129.99,129.99,C004
1005,2024-01-09,Perth,In-Store,P005,Block Heel Sandals,Footwear,1,99.99,99.99,C005
1006,2024-01-10,Sydney,In-Store,P001,Floral Wrap Dress,Dresses,2,89.99,179.98,C006
1007,2024-01-11,Online,Online,P006,Striped T-Shirt,Tops,3,29.99,89.97,C007
1008,2024-01-12,Melbourne,In-Store,P007,Wide Leg Trousers,Bottoms,1,69.99,69.99,C008
1009,2024-01-13,Brisbane,In-Store,P008,Gold Hoop Earrings,Accessories,2,24.99,49.98,C009
1010,2024-01-14,Perth,In-Store,P009,Slip-On Sneakers,Footwear,1,79.99,79.99,C010
1011,2024-01-20,Sydney,In-Store,P002,White Linen Shirt,Tops,1,49.99,49.99,C011
1012,2024-01-22,Online,Online,P003,High-Waist Jeans,Bottoms,2,79.99,159.98,C012
1013,2024-01-25,Melbourne,In-Store,P001,Floral Wrap Dress,Dresses,1,89.99,89.99,C013
1014,2024-01-28,Brisbane,In-Store,P010,Chunky Knit Cardigan,Tops,2,59.99,119.98,C014
1015,2024-01-30,Perth,In-Store,P004,Leather Tote Bag,Accessories,1,129.99,129.99,C015
1016,2024-02-02,Sydney,In-Store,P005,Block Heel Sandals,Footwear,2,99.99,199.98,C016
1017,2024-02-04,Online,Online,P007,Wide Leg Trousers,Bottoms,1,69.99,69.99,C017
1018,2024-02-06,Melbourne,In-Store,P010,Chunky Knit Cardigan,Tops,3,59.99,179.97,C018
1019,2024-02-08,Brisbane,In-Store,P001,Floral Wrap Dress,Dresses,1,89.99,89.99,C019
1020,2024-02-10,Perth,In-Store,P006,Striped T-Shirt,Tops,2,29.99,59.98,C020
1021,2024-02-12,Sydney,In-Store,P008,Gold Hoop Earrings,Accessories,3,24.99,74.97,C021
1022,2024-02-14,Online,Online,P001,Floral Wrap Dress,Dresses,4,89.99,359.96,C022
1023,2024-02-16,Melbourne,In-Store,P009,Slip-On Sneakers,Footwear,2,79.99,159.98,C023
